pdb,r0,r1,r2,r3,r4,r5
5am1,-10.648511537284893,-11.929600882648186,-12.216410174235179,-10.220983672084126,-11.967452574330785,-18.3512672707935
5am3,-17.47897640917782,-18.6278021916826,-19.06330253298279,-16.636157603967494,-14.294265362332695,-13.128178098231356
5alg,-16.002168214866153,-16.326857901768644,-15.880461272705546,-14.969307116634802,-18.478894206500954,-22.064989163479925
5alp,-7.825503168499043,-8.531187429254302,-9.819590974904397,-10.741885337237095,-11.113414032504778,-12.062272248804971
5ai5,-6.63748058556405,-6.197581814053539,-6.291664175908222,-2.989912994741873,-3.8148047146271513,-1.8729550748087958
5am4,-8.864277160850861,-9.231802516491397,-9.539404367112807,-9.702989864961758,-10.275174373804962,-8.638578939292543
5aly,-17.678014008126194,-18.60332367327916,-20.23667449235182,-21.03255446558317,-19.08581033891013,-16.79236312165392
5akh,-7.995932485181644,-7.697547897944549,-7.763557059512428,-7.673161073135755,-8.547943454110898,-7.651305723231357
5am0,-14.838022444072658,-14.115458769837474,-13.504284702198849,-12.031669408221795,-12.125060195267684,-8.713942090344169
5aia,-5.816100236137668,-5.6425266156787774,-5.147697413479923,-4.588212081261951,-6.858290951959847,-7.140276783221798
5alo,-4.08206573374761,-4.37639868212237,-7.0401077055449335,-8.432083569789674,-5.565423088193116,-9.388647882170169
5alt,-2.7898566926386232,-3.2589857466539183,-3.0927052937380486,-4.576205491873805,-2.6482411967017208,-5.202245940248563
5akg,-6.99807852007648,-5.638371353489482,-5.633536978011472,-1.2430343243307838,-2.063623325525812,-3.4787125489961763
5akk,-6.728322410133842,-6.637781364005735,-6.861834617829827,-6.7105327667304016,-5.414124134560229,-5.842998186902485
5ai0,-6.833971592017207,-8.065467481357551,-8.646825726577436,-8.48592081214149,-6.126539769359463,-6.123035002629062
5alh,-17.91735527294455,-18.324560373087948,-18.193349009799235,-17.502596499043978,-18.58367571056405,-19.943254691204586
5alx,-2.6137163957934986,-4.405583516491396,-5.345797444072657,-7.110657936185468,-11.097719379302099,-14.263907553298278
5ak6,-3.163485295172083,-3.791943093451243,-4.395742476099427,-4.958584628346079,-4.942487555688335,-6.210768353967495
