pdb,r1,r2,r3,r4,r5,r6,logP
5ai5,-6.6,-6.2,-6.3,-3.0,-3.8,-1.9,3.3
5akg,-7.0,-5.6,-5.6,-1.2,-2.1,-3.5,1.8
5ai0,-6.8,-8.1,-8.6,-8.5,-6.1,-6.1,1.3
5akk,-6.7,-6.6,-6.9,-6.7,-5.4,-5.8,1.9
5akh,-8.0,-7.7,-7.8,-7.7,-8.5,-7.7,4.1
5am4,-8.9,-9.2,-9.5,-9.7,-10.3,-8.6,3.7
5aia,-5.8,-5.6,-5.1,-4.6,-6.9,-7.1,3.1
5alt,-2.8,-3.3,-3.1,-4.6,-2.6,-5.2,1.5
5ak6,-3.2,-3.8,-4.4,-5.0,-4.9,-6.2,1.8
5alp,-7.8,-8.5,-9.8,-10.7,-11.1,-12.1,3.9
5alo,-4.1,-4.4,-7.0,-8.4,-5.6,-9.4,3.5
5am1,-10.6,-11.9,-12.2,-10.2,-12.0,-18.4,3.7
5alg,-12.7,-12.3,-11.3,-12.8,-16.7,-22.1,4.5
5alx,-2.6,-4.4,-5.3,-7.1,-11.1,-14.3,3.6
