,pep1,pep2,pep3,pep4,pep5,pep6,pep7,pep8,pep9,tot_hel
0,8.0,3.0,8.0,6.0,5.0,8.0,4.0,5.0,8.0,55.0
1,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
2,8.0,3.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,56.0
3,8.0,4.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,58.0
4,8.0,4.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,58.0
5,8.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,8.0,56.0
6,8.0,4.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,58.0
7,8.0,0.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,53.0
8,8.0,4.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,57.0
9,8.0,3.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,57.0
10,8.0,4.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,57.0
11,8.0,3.0,8.0,6.0,4.0,7.0,4.0,7.0,8.0,55.0
12,8.0,3.0,8.0,6.0,4.0,8.0,4.0,6.0,8.0,55.0
13,8.0,3.0,8.0,6.0,5.0,8.0,4.0,5.0,8.0,55.0
14,8.0,3.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,56.0
15,8.0,4.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,57.0
16,8.0,4.0,8.0,6.0,0.0,8.0,4.0,6.0,8.0,52.0
17,8.0,0.0,8.0,6.0,3.0,8.0,4.0,7.0,8.0,52.0
18,8.0,0.0,8.0,6.0,3.0,8.0,4.0,6.0,8.0,51.0
19,8.0,0.0,8.0,6.0,5.0,8.0,4.0,5.0,8.0,52.0
20,8.0,0.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,53.0
21,8.0,3.0,8.0,6.0,5.0,6.0,4.0,6.0,8.0,54.0
22,8.0,3.0,8.0,6.0,4.0,8.0,4.0,6.0,8.0,55.0
23,8.0,3.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,56.0
24,8.0,4.0,8.0,6.0,5.0,7.0,4.0,6.0,8.0,56.0
25,8.0,4.0,8.0,6.0,5.0,8.0,4.0,5.0,8.0,56.0
26,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
27,8.0,4.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,57.0
28,8.0,4.0,8.0,6.0,5.0,7.0,4.0,6.0,8.0,56.0
29,8.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,8.0,56.0
30,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
31,8.0,0.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,53.0
32,8.0,4.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,57.0
33,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
34,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
35,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
36,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
37,8.0,0.0,8.0,5.0,4.0,8.0,4.0,7.0,8.0,52.0
38,8.0,4.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,58.0
39,8.0,3.0,8.0,6.0,5.0,8.0,4.0,6.0,6.0,54.0
40,8.0,3.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,56.0
41,8.0,0.0,8.0,6.0,5.0,8.0,4.0,7.0,8.0,54.0
42,8.0,4.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,57.0
43,8.0,0.0,8.0,4.0,0.0,8.0,4.0,7.0,8.0,47.0
44,8.0,0.0,8.0,5.0,4.0,8.0,4.0,7.0,8.0,52.0
45,8.0,4.0,6.0,5.0,3.0,8.0,4.0,7.0,7.0,52.0
46,8.0,3.0,7.0,5.0,4.0,8.0,4.0,6.0,8.0,53.0
47,8.0,3.0,8.0,6.0,5.0,8.0,4.0,6.0,8.0,56.0
48,8.0,0.0,8.0,5.0,4.0,8.0,4.0,6.0,8.0,51.0
49,8.0,0.0,8.0,6.0,4.0,8.0,4.0,6.0,7.0,51.0
50,8.0,0.0,8.0,5.0,4.0,8.0,4.0,6.0,8.0,51.0
51,8.0,0.0,8.0,6.0,4.0,8.0,4.0,6.0,8.0,52.0
52,8.0,4.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,57.0
53,7.0,3.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,55.0
54,8.0,4.0,8.0,5.0,4.0,8.0,4.0,6.0,8.0,55.0
55,8.0,3.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,56.0
56,8.0,0.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,53.0
57,8.0,3.0,8.0,6.0,4.0,8.0,4.0,7.0,8.0,56.0
