site,pdb,fs1,fs2,exp,swish,comet
Tunnel,5am1,-0.678,-3.868,-11.8,-11.930,NaN
Tunnel,5am3,-14.510,0.695,-11.5,-18.628,-15.7
Tunnel,5alg,-16.282,-12.183,-10.4,-16.327,-18.7
Tunnel,5alp,-12.252,-8.409,-9.8,-8.531,-6.5
Tunnel,5alh,-5.317,-5.360,-9.8,NaN,NaN
Tunnel,5ai5,-7.844,-5.501,-9.7,-6.198,NaN
BS1,5am4,-8.959,-12.187,-9.6,-9.232,NaN
BS1,5aly,-6.695,-6.457,-9.3,-18.603,-10.4
BS1,5akh,-8.971,-2.701,-9.1,-7.698,NaN
BS1,5am0,-9.891,-6.917,-8.2,-14.115,NaN
BS1,5alx,-5.241,-19.280,-7.6,NaN,-7.3
BS1,5aia,-1.890,0.189,-7.2,-5.643,-6.2
BS2,5alo,-9.171,-5.513,-8.5,-4.376,NaN
BS2,5alt,-3.077,-10.917,-6.8,-3.259,-4.7
BS2,5akg,-3.401,-4.461,-6.2,-5.638,-3.2
BS2,5akk,-4.675,-3.724,-5.6,-6.638,-1.9
BS2,5ai0,-4.740,-5.238,-5.2,-8.065,NaN
BS2,5ak6,-4.785,-3.333,-4.9,NaN,NaN
